video_path,label,transcript,sentiment,dominant_emotion,confidence_emotion,pitch_mean,energy_mean,speech_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,keyword_count,keyword_type,vision_score,audio_score,semantic_score,final_score,face_detected,landmark_count,face_center_x,face_center_y,face_width,face_height
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-01-01-01-01-01.wav,warm,Kids are talking by the door.,positive,neutral,50.0,1778.659,0.00233,1.816,-694.232,50.041,0.552,14.546,3.445,0,unknown,0.5,0.1956,0.45,0.3887,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-01-01-01-02-01.wav,warm,Kids are talking by the door.,positive,neutral,50.0,1783.894,0.0025,1.798,-683.92,49.147,-1.772,19.476,1.977,0,unknown,0.5,0.1948,0.45,0.3884,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-01-01-02-01-01.wav,warm,Dogs are sitting by the door.,positive,neutral,50.0,1768.766,0.00285,1.835,-678.079,51.528,-0.038,14.368,0.834,0,unknown,0.5,0.2006,0.45,0.3902,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-01-01-02-02-01.wav,warm,Dogs are sitting by the door.,positive,neutral,50.0,1670.098,0.00266,1.893,-674.44,50.828,1.725,14.461,3.074,0,unknown,0.5,0.2053,0.45,0.3916,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-01-01-01-01.wav,warm,Kids are talking by the door.,positive,calm,50.0,1794.747,0.0017,1.696,-709.883,56.299,2.663,16.805,3.565,0,unknown,0.56,0.1798,0.45,0.4019,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-01-01-02-01.wav,warm,Kids are talking by the door.,positive,calm,50.0,1832.588,0.00181,1.665,-695.87,61.871,-0.804,14.568,4.736,0,unknown,0.56,0.1774,0.45,0.4012,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-01-02-01-01.wav,warm,Dogs are sitting by the door.,positive,calm,50.0,1763.968,0.00264,1.713,-688.434,58.456,0.195,14.348,2.148,0,unknown,0.56,0.1871,0.45,0.4041,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-01-02-02-01.wav,warm,Dogs are sitting by the door.,positive,calm,50.0,1652.317,0.0027,1.729,-685.451,62.541,-0.826,16.145,2.892,0,unknown,0.56,0.1891,0.45,0.4047,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-02-01-01-01.wav,warm,Kids are talking by the door.,positive,calm,100.0,1804.111,0.00154,1.62,-718.616,64.947,1.901,16.332,4.004,0,unknown,0.76,0.1712,0.45,0.4594,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-02-01-02-01.wav,warm,Kids are talking by the door.,positive,calm,100.0,1828.956,0.00164,1.499,-678.885,60.244,-2.405,13.981,1.626,0,unknown,0.76,0.1597,0.45,0.4559,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-02-02-01-01.wav,warm,Dogs are sitting by the door.,positive,calm,100.0,1766.986,0.00212,1.427,-687.784,61.92,2.996,11.42,4.498,0,unknown,0.76,0.1554,0.45,0.4546,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-02-02-02-02-01.wav,warm,Dogs are sitting by the door.,positive,calm,100.0,1890.328,0.00215,1.499,-669.335,56.184,-3.906,15.832,2.221,0,unknown,0.76,0.1628,0.45,0.4568,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-01-01-01-01.wav,hot,Kids are talking by the door.,positive,happy,50.0,1611.303,0.00435,1.729,-630.484,55.852,-4.847,14.766,-2.353,0,unknown,0.8,0.199,0.75,0.5997,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-01-01-02-01.wav,hot,Kids are talking by the door.,positive,happy,50.0,1807.653,0.00506,1.729,-610.361,53.821,-5.103,17.301,0.762,0,unknown,0.8,0.2033,0.75,0.601,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-01-02-01-01.wav,hot,Dogs are sitting by the door.,positive,happy,50.0,1819.763,0.00382,1.696,-642.267,54.74,-1.562,12.108,-1.58,0,unknown,0.8,0.1925,0.75,0.5978,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-01-02-02-01.wav,hot,Dogs are sitting by the door.,positive,happy,50.0,1649.114,0.0038,1.62,-635.335,48.805,2.629,17.27,-2.415,0,unknown,0.8,0.1848,0.75,0.5954,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-02-01-01-01.wav,hot,Kids are talking by the door.,positive,happy,100.0,1844.828,0.00666,1.635,-583.447,43.252,-6.601,5.285,-3.266,0,unknown,1.0,0.2035,0.75,0.6611,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-02-01-02-01.wav,hot,Kids are talking by the door.,positive,happy,100.0,1733.257,0.0085,1.65,-553.582,48.836,-12.892,7.23,-0.275,0,unknown,1.0,0.216,0.75,0.6648,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-02-02-01-01.wav,hot,Dogs are sitting by the door.,positive,happy,100.0,1721.593,0.01108,1.524,-503.05,39.735,-10.255,7.52,-3.37,0,unknown,1.0,0.2189,0.75,0.6657,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-03-02-02-02-01.wav,hot,Dogs are sitting by the door.,positive,happy,100.0,1776.694,0.01028,1.524,-526.547,41.827,-10.285,6.714,-5.529,0,unknown,1.0,0.2141,0.75,0.6642,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-04-01-01-01-01.wav,cold,Kids are talking by the door.,positive,sad,50.0,1862.269,0.00224,1.564,-672.9,56.015,-3.03,18.127,-1.516,0,unknown,0.32,0.1698,0.3,0.2669,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-04-01-01-02-01.wav,cold,Kids are talking by the door.,positive,sad,50.0,1794.823,0.00206,1.681,-682.632,58.302,-2.717,20.004,0.232,0,unknown,0.32,0.1805,0.3,0.2702,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-04-01-02-01-01.wav,cold,Dogs are sitting by the door.,positive,sad,50.0,1919.269,0.00178,1.713,-724.799,53.722,-4.574,16.966,-0.866,0,unknown,0.32,0.182,0.3,0.2706,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-04-01-02-02-01.wav,cold,Dogs are sitting by the door.,positive,sad,50.0,1872.672,0.00234,1.78,-701.415,54.758,-0.237,18.08,-0.944,0,unknown,0.32,0.192,0.3,0.2736,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-04-02-01-01-01.wav,cold,Kids are talking by the door.,positive,sad,100.0,1848.057,0.00301,1.577,-663.149,57.374,0.19,20.224,-0.326,0,unknown,0.52,0.1758,0.3,0.3287,0,0,0,0,0,0
C:/PropScore_AI/data/raw_videos/ravdess/Actor_01/03-01-04-02-01-02-01.wav,cold,Kids are talking by the door.,positive,sad,100.0,1932.692,0.00499,1.62,-616.932,44.395,-5.405,11.928,-1.877,0,unknown,0.52,0.1919,0.3,0.3336,0,0,0,0,0,0
