video_path,label,transcript,sentiment,dominant_emotion,confidence_emotion,pitch_mean,energy_mean,speech_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,keyword_count,keyword_type,vision_score,audio_score,semantic_score,final_score,face_detected,landmark_count,face_center_x,face_center_y,face_width,face_height
data/raw_videos/warm/vid1.mp4,warm,"cet appartement est vraiment très joli, j'aime beaucoup la lumière naturelle et l'ambiance du lieu. Ça correspond à plusieurs choses que je recherche depuis un moment. Oui, je suis intéressé, mais je pense que je aurait besoin de réfléchir encore un peu avant d'aller plus loin. Peut-être revoir certaines informations tranquillement. Franchement, l'appartement est vraiment agréable. J'aime beaucoup la lumière et le fait que tous semblent assez modernes et bien entretenus.",positive,sad,80.633,1675.273,0.11437,3.234,-204.903,75.485,-11.001,14.6,-17.302,1,warm_hesitation,0.4813,0.923,0.49,0.6173,1,468,0.5175,0.3545,0.3877,0.2739
data/raw_videos/warm/vid10.mp4,warm,"L'endroit est agréable, mais je pense que j'ai encore besoin de réfléchir.",neutral,neutral,96.899,1212.612,0.05152,1.5,-236.16,100.884,2.371,19.197,-2.437,0,warm_hesitation,0.6938,0.459,0.45,0.5258,1,468,0.4278,0.4544,0.5809,0.3851
data/raw_videos/warm/vid11.mp4,warm,"Il y a du potentiel ici, mais je pense que j'ai encore besoin de t'analyser certains détails.",neutral,neutral,84.042,1404.555,0.08073,2.125,-206.169,98.642,5.326,35.242,2.33,0,warm_hesitation,0.6681,0.697,0.45,0.5895,1,468,0.3955,0.3972,0.54,0.3894
data/raw_videos/warm/vid12.mp4,warm,"Je suis intéressé, mais je ne veux pas aller trop vite non plus.",neutral,neutral,81.693,1162.012,0.03126,1.625,-342.202,104.183,5.937,23.52,8.348,0,warm_hesitation,0.6634,0.35,0.45,0.484,1,468,0.387,0.4068,0.5187,0.3688
data/raw_videos/warm/vid13.mp4,warm,Je me sens bien ici. Mais je ne suis pas encore certain de pouvoir me projeter.,neutral,happy,96.226,1315.432,0.06494,2.0,-293.031,85.251,16.525,13.941,-4.725,0,warm_hesitation,0.9925,0.59,0.45,0.6547,1,468,0.4344,0.4242,0.5735,0.4041
data/raw_videos/warm/vid14.mp4,warm,"L'appartement est vraiment joli, mais je ne sais pas encore si je pourrais vraiment me projeter ici.",neutral,neutral,62.978,1615.84,0.07371,2.125,-268.585,78.004,-6.406,20.88,-10.108,0,warm_hesitation,0.626,0.655,0.45,0.5643,1,468,0.4584,0.3879,0.4506,0.32
data/raw_videos/warm/vid15.mp4,warm,Je trouve la partement très beau. Mais je ne sais pas encore si c'est vraiment le bon choix pour moi.,positive,neutral,97.864,1254.471,0.06803,2.5,-256.984,96.109,0.424,13.273,-8.043,0,warm_hesitation,0.6957,0.658,0.45,0.5861,1,468,0.4315,0.2959,0.3178,0.2254
data/raw_videos/warm/vid16.mp4,warm,J'aime bien l'ambiance ici et mais je ne ressens pas encore un vrai déclic.,neutral,happy,97.257,1172.502,0.06435,1.75,-260.741,95.581,7.897,22.906,-8.427,0,warm_hesitation,0.9945,0.561,0.45,0.6467,1,468,0.4652,0.3794,0.4533,0.3163
data/raw_videos/warm/vid17.mp4,warm,"Oui, c'est agréable ici, mais je préfère ne pas me précipiter.",neutral,happy,97.528,1157.867,0.0515,1.375,-278.401,88.544,0.205,22.45,-8.71,0,warm_hesitation,0.9951,0.447,0.45,0.6126,1,468,0.4271,0.3484,0.5204,0.3689
data/raw_videos/warm/vid18.mp4,warm,"Oui, c'est très agréable ici, mais j'ai encore quelques hésitations honnêtement.",neutral,sad,84.87,1095.914,0.06132,1.375,-270.9,80.762,-6.747,10.995,-11.596,0,warm_hesitation,0.4897,0.505,0.45,0.4784,1,468,0.4801,0.3591,0.4222,0.2956
data/raw_videos/warm/vid19.mp4,warm,"Je suis intéressé, et mais honnêtement, je ne suis pas encore totalement sûr.",neutral,sad,95.136,1361.463,0.07072,1.625,-256.475,94.157,-2.773,21.786,-0.508,0,warm_hesitation,0.5103,0.587,0.45,0.5092,1,468,0.5028,0.3994,0.4677,0.3344
data/raw_videos/warm/vid2.mp4,warm,"Il y a du potentiel, mais j'ai encore plusieurs questions avant d'aller plus loin.",neutral,neutral,85.173,1276.682,0.06179,1.75,-240.881,104.029,-3.215,28.975,-2.016,0,warm_hesitation,0.6703,0.546,0.45,0.5449,1,468,0.475,0.361,0.4784,0.3388
data/raw_videos/warm/vid20.mp4,warm,Je suis intéressé et mes prendre une décision comme ça me fait encore hésiter.,negative,neutral,95.821,1371.751,0.06879,1.75,-263.0,82.826,0.355,21.806,-5.977,0,warm_hesitation,0.6916,0.588,0.45,0.5639,1,468,0.4186,0.3943,0.4801,0.3365
data/raw_videos/warm/vid21.mp4,warm,"Franchement, l'appartement est vraiment agréable. J'aime beaucoup la lumière et le fait que tout semble assez moderne et bien entretenu. Après, je suis encore en train de réfléchir.",positive,neutral,86.182,1621.162,0.07008,3.5,-202.764,75.596,-13.794,24.685,-14.323,0,warm_hesitation,0.6724,0.77,0.45,0.6127,1,468,0.423,0.3461,0.3319,0.23
data/raw_videos/warm/vid22.mp4,warm,Ça me plaît beaucoup et c'est quand même une grande décision pour moi.,positive,neutral,89.43,1461.559,0.05996,1.625,-285.164,84.722,3.497,23.637,-4.464,0,warm_hesitation,0.6789,0.522,0.45,0.5403,1,468,0.4142,0.4262,0.4432,0.3109
data/raw_videos/warm/vid23.mp4,warm,"J'aime beaucoup, mais je suis encore un peu perdue honnêtement.",neutral,sad,87.436,1239.136,0.06576,1.25,-275.009,103.329,-14.091,13.502,-7.426,0,warm_hesitation,0.4949,0.52,0.45,0.4845,1,468,0.4356,0.4173,0.4389,0.3041
