age,income,profession,property_type,budget,num_visits,source_lead,binary_target,total_time_spent_website,page_views_per_visit,city,lead_origin,last_activity,last_notable_activity,score_lead,label_raw,ratio_budget_income,interaction_score,label,target_multiclasse_id,prospect_id
69,2542.0,Unemployed,Villa,490770.0,0.0,Olark Chat,0,0,0.0,Select,API,Page Visited on Website,Modified,0,Froid,193.06451612903223,0.0,cold,0,tabular_000001
32,3151.0,Unemployed,Villa,257500.0,5.0,Organic Search,0,674,2.5,Select,API,Email Opened,Email Opened,2,Tiede,81.72008886067916,4.598,warm,1,tabular_000002
89,5527.0,Student,Appartement,295932.0,2.0,Direct Traffic,1,1532,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,53.5429708702732,4.664,warm,1,tabular_000003
78,2707.0,Unemployed,Terrain,270890.0,1.0,Direct Traffic,0,305,1.0,Mumbai,Landing Page Submission,Unreachable,Modified,0,Froid,100.0701884004433,1.41,cold,0,tabular_000004
38,2500.0,Unemployed,Maison,197220.0,2.0,Google,1,1428,1.0,Mumbai,Landing Page Submission,Converted to Lead,Modified,3,Tiede,78.888,4.156,warm,1,tabular_000005
41,8581.0,Unknown,Studio,807648.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,2,Tiede,94.1204987763664,0.0,warm,1,tabular_000006
20,3739.0,Unemployed,Appartement,251040.0,2.0,Google,1,1640,2.0,Mumbai,Landing Page Submission,Email Opened,Modified,3,Tiede,67.14094677721316,4.88,warm,1,tabular_000007
39,7867.0,Unknown,Terrain,651865.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,82.86068386932757,0.0,cold,0,tabular_000008
70,8127.0,Unknown,Terrain,656260.0,2.0,Direct Traffic,0,71,2.0,Thane & Outskirts,Landing Page Submission,Email Opened,Email Opened,2,Tiede,80.7505844715147,1.742,warm,1,tabular_000009
19,8022.0,Unknown,Terrain,579468.0,4.0,Google,0,58,4.0,Mumbai,API,Email Opened,Email Opened,3,Tiede,72.23485415108452,3.3160000000000003,warm,1,tabular_000010
47,4184.0,Unemployed,Maison,290000.0,8.0,Organic Search,1,1351,8.0,Other Metro Cities,Landing Page Submission,Email Opened,Email Opened,5,Chaud,69.31166347992352,9.102,hot,2,tabular_000011
55,3974.0,Unemployed,Villa,253470.0,8.0,Direct Traffic,1,1343,2.67,Thane & Outskirts,Landing Page Submission,Page Visited on Website,Page Visited on Website,4,Chaud,63.78208354302969,7.487,hot,2,tabular_000012
19,4630.0,Unemployed,Appartement,196290.0,11.0,Organic Search,1,1538,11.0,Select,API,Email Opened,Modified,5,Chaud,42.39524838012959,11.876,hot,2,tabular_000013
81,2500.0,Unemployed,Maison,469680.0,5.0,Organic Search,0,170,5.0,Thane & Outskirts,Landing Page Submission,Email Opened,Email Opened,2,Tiede,187.872,4.34,warm,1,tabular_000014
77,4043.0,Unemployed,Studio,471771.0,1.0,Direct Traffic,0,481,1.0,Select,Landing Page Submission,Email Bounced,Email Bounced,0,Froid,116.68835023497402,1.762,cold,0,tabular_000015
38,4208.0,Unemployed,Maison,433062.0,6.0,Organic Search,1,1012,6.0,Select,API,Email Opened,Email Opened,4,Chaud,102.9139733840304,6.824,hot,2,tabular_000016
50,6801.0,Unknown,Studio,309650.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,45.5300691074842,0.0,cold,0,tabular_000017
75,4836.0,Unemployed,Studio,187915.0,6.0,Referral Sites,0,973,6.0,Select,API,Email Link Clicked,Modified,3,Tiede,38.85752688172043,6.746,warm,1,tabular_000018
39,3556.0,Unemployed,Terrain,351360.0,6.0,Google,1,1688,3.0,Mumbai,Landing Page Submission,Page Visited on Website,Page Visited on Website,5,Chaud,98.80764904386952,7.276,hot,2,tabular_000019
66,2500.0,Unemployed,Maison,165000.0,3.0,Organic Search,0,98,3.0,Select,API,Page Visited on Website,Modified,2,Tiede,66.0,2.596,warm,1,tabular_000020
76,3318.0,Unemployed,Villa,361863.0,1.0,Google,0,233,1.0,Mumbai,Landing Page Submission,Unreachable,Modified,0,Froid,109.06057866184447,1.266,cold,0,tabular_000021
59,2500.0,Unemployed,Studio,271350.0,4.0,Google,0,377,1.33,Select,API,Page Visited on Website,Modified,0,Froid,108.54,3.153,cold,0,tabular_000022
77,4487.0,Unemployed,Terrain,319040.0,1.0,Google,1,1013,1.0,Mumbai,Landing Page Submission,Converted to Lead,Modified,3,Tiede,71.10318698462224,2.8260000000000005,warm,1,tabular_000023
32,2531.0,Unemployed,Villa,404829.0,4.0,Google,0,771,4.0,Mumbai,Landing Page Submission,Email Link Clicked,Email Link Clicked,1,Froid,159.94824180165944,4.742,cold,0,tabular_000024
79,2500.0,Unemployed,Maison,420831.0,6.0,Google,1,1137,1.5,Mumbai,API,Email Opened,Email Opened,3,Tiede,168.3324,5.724,warm,1,tabular_000025
79,3437.0,Unemployed,Villa,268785.0,3.0,Google,1,1068,3.0,Mumbai,Landing Page Submission,Form Submitted on Website,Modified,4,Chaud,78.20337503636893,4.536,hot,2,tabular_000026
64,3160.0,Unemployed,Maison,252500.0,4.0,Organic Search,1,1000,2.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,3,Tiede,79.90506329113924,4.6,warm,1,tabular_000027
79,2646.0,Unemployed,Studio,455056.0,6.0,Google,1,1315,6.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,171.97883597883597,7.43,hot,2,tabular_000028
68,3556.0,Student,Appartement,431028.0,5.0,Direct Traffic,0,182,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,121.21147356580428,4.364,warm,1,tabular_000029
72,3036.0,Unemployed,Appartement,280000.0,3.0,Google,1,78,3.0,Mumbai,API,Unreachable,Unreachable,3,Tiede,92.2266139657444,2.556,warm,1,tabular_000030
81,2500.0,Unemployed,Studio,522695.0,7.0,Direct Traffic,1,1174,3.5,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,209.078,6.898,hot,2,tabular_000031
20,4065.0,Unemployed,Villa,180000.0,3.0,Google,0,88,1.5,Select,API,Email Opened,Modified,1,Froid,44.28044280442804,2.126,cold,0,tabular_000032
68,3332.0,Unemployed,Maison,353400.0,4.0,Referral Sites,0,223,2.0,Select,API,Page Visited on Website,Modified,0,Froid,106.062424969988,3.0460000000000003,cold,0,tabular_000033
24,8064.0,Unknown,Appartement,580971.0,3.0,Organic Search,0,74,1.5,Unknown,API,Email Opened,Modified,2,Tiede,72.04501488095238,2.098,warm,1,tabular_000034
38,2500.0,Unemployed,Maison,444804.0,4.0,Organic Search,1,16,2.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,1,Froid,177.9216,2.632,cold,0,tabular_000035
90,2500.0,Unemployed,Studio,290000.0,3.0,Referral Sites,1,98,3.0,Thane & Outskirts,API,Email Opened,Modified,2,Tiede,116.0,2.596,warm,1,tabular_000036
56,4397.0,Unemployed,Villa,198814.0,4.0,Google,0,1622,4.0,Mumbai,Landing Page Submission,Unreachable,Modified,3,Tiede,45.215828974300656,6.444,warm,1,tabular_000037
35,11332.0,Working Professional,Maison,1383113.0800000003,5.0,Google,1,563,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,122.05374867631488,5.126,hot,2,tabular_000038
