age,income,profession,property_type,budget,num_visits,source_lead,binary_target,total_time_spent_website,page_views_per_visit,city,lead_origin,last_activity,last_notable_activity,score_lead,label_raw,ratio_budget_income,interaction_score,label,target_multiclasse_id,prospect_id,synthetic_pair_id,video_path,transcript,sentiment,dominant_emotion,confidence_emotion,pitch_mean,energy_mean,speech_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,keyword_count,keyword_type,vision_score,audio_score,semantic_score,final_score,face_detected,landmark_count,face_center_x,face_center_y,face_width,face_height,source_class,video_id,prospect_id_video,language,duration,emotion_confidence_mean,emotion_confidence_std,face_detected_ratio,landmark_quality_score,pitch_std,energy_std,speech_rate_estimate,zero_crossing_rate_mean,spectral_centroid_mean,sentiment_label,positive_keyword_count,hesitation_keyword_count,negative_keyword_count,analysis_method,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13
69,2542.0,Unemployed,Villa,490770.0,0.0,Olark Chat,0,0,0.0,Select,API,Page Visited on Website,Modified,0,Froid,193.06451612903223,0.0,cold,0,tabular_000001,cold_000000,data/raw_videos/cold/cold_01.mp4,"Bonjour, non, honnêtement ce bien ne m'intéresse pas. Je ne me vois pas du tout vivre dans un endroit comme celui-ci. Ce n'est pas ce que je recherche. Et...",negative,neutral,99.97,1665.199,0.08845,3.625,-257.19,75.677,-8.983,10.673,-1.003,2,refusal,0.46,0.893,0.05,0.426,1.0,478.0,0.545,0.295,0.44,0.299,cold,cold_01,cold_01,fr,0.0,0.9997,0.0,1.0,1.0,0.0,0.0,3.625,0.0,0.0,refusal,0.0,0.0,2.0,provided_video_csv,-257.19,0.0,75.677,0.0,-8.983,0.0,10.673,0.0,-1.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2707.0,Unemployed,Terrain,270890.0,1.0,Direct Traffic,0,305,1.0,Mumbai,Landing Page Submission,Unreachable,Modified,0,Froid,100.0701884004433,1.41,cold,0,tabular_000004,cold_000001,data/raw_videos/cold/cold_02.mp4,"Bonjour, non, cet appartement ne m'intéresse pas. Ce n'est pas du tout le type de bien que je recherche. Je ne me projette pas ici.",negative,neutral,87.697,1159.09,0.13215,3.125,-194.722,109.025,-20.475,0.914,-8.642,2,refusal,0.441,0.912,0.05,0.426,1.0,478.0,0.541,0.328,0.485,0.331,cold,cold_02,cold_02,fr,0.0,0.87697,0.0,1.0,1.0,0.0,0.0,3.125,0.0,0.0,refusal,0.0,0.0,2.0,provided_video_csv,-194.722,0.0,109.025,0.0,-20.475,0.0,0.914,0.0,-8.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,7867.0,Unknown,Terrain,651865.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,82.86068386932757,0.0,cold,0,tabular_000008,cold_000002,data/raw_videos/cold/cold_03.mp4,Ce que vous montrez ne me parle pas du tout. Je ne suis pas concerné par ce type de propositions. Je ne veux pas continuer cet échange autour de ce bien. Je préfère en rester là. Merci.,negative,neutral,91.903,1367.649,0.08396,4.625,-177.865,87.39,-8.891,14.975,0.749,1,refusal,0.447,0.904,0.1,0.445,1.0,478.0,0.567,0.336,0.468,0.313,cold,cold_03,cold_03,fr,0.0,0.91903,0.0,1.0,1.0,0.0,0.0,4.625,0.0,0.0,refusal,0.0,0.0,1.0,provided_video_csv,-177.865,0.0,87.39,0.0,-8.891,0.0,14.975,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,4043.0,Unemployed,Studio,471771.0,1.0,Direct Traffic,0,481,1.0,Select,Landing Page Submission,Email Bounced,Email Bounced,0,Froid,116.68835023497402,1.762,cold,0,tabular_000015,cold_000003,data/raw_videos/cold/cold_04.mp4,"Non, ce n'est pas ce que je cherche. Je ne suis pas intéressé par cette offre. Je préfère arrêter maintenant. Merci.",negative,neutral,93.176,1444.975,0.05456,2.69,-301.052,62.345,12.585,34.234,14.489,3,refusal,0.455,0.596,0.05,0.335,1.0,478.0,0.489,0.522,0.347,0.279,cold,cold_04,cold_04,fr,0.0,0.93176,0.0,1.0,1.0,0.0,0.0,2.69,0.0,0.0,refusal,0.0,0.0,3.0,provided_video_csv,-301.052,0.0,62.345,0.0,12.585,0.0,34.234,0.0,14.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,6801.0,Unknown,Studio,309650.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,45.5300691074842,0.0,cold,0,tabular_000017,cold_000004,data/raw_videos/cold/cold_05.mp4,"Bonjour, je vous écoute, je serai bref. Non, honnêtement, ce bien ne m'intéresse pas. Je ne me vois pas du tout vivre dans un endroit comme celui-ci. Ce n'est pas ce que je recherche. Je ne suis pas convaincu par la visite. Je ne ressens aucun réel intérêt pour cet appartement. L'espace ne me prépare. L'ensemble ne correspond pas à mes attentes. Je ne souhaite pas continuer plus loin. Je préfère en rester là. C'est définitif. Merci pour votre temps.",positive,neutral,84.832,1679.043,0.01309,2.898,-444.888,38.459,19.54,18.879,-20.428,5,refusal,0.434,0.368,0.4,0.401,1.0,478.0,0.51,0.557,0.253,0.315,cold,cold_05,cold_05,fr,0.0,0.84832,0.0,1.0,1.0,0.0,0.0,2.898,0.0,0.0,refusal,0.0,0.0,5.0,provided_video_csv,-444.888,0.0,38.459,0.0,19.54,0.0,18.879,0.0,-20.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3318.0,Unemployed,Villa,361863.0,1.0,Google,0,233,1.0,Mumbai,Landing Page Submission,Unreachable,Modified,0,Froid,109.06057866184447,1.266,cold,0,tabular_000021,cold_000005,data/raw_videos/cold/cold_06.mp4,Je ne vois aucun intérêt à poursuivre. Ce bien ne correspond pas à mes besoins. Je ne souhaite pas discuter du prix. Je ne veux pas recevoir le dossier. Merci mais cette proposition ne m'intéresse pas.,negative,sad,73.579,1240.848,0.08006,4.5,-194.802,113.33,-4.497,21.409,-4.303,3,refusal,0.386,0.88,0.05,0.4,1.0,478.0,0.505,0.388,0.416,0.29,cold,cold_06,cold_06,fr,0.0,0.7357899999999999,0.0,1.0,1.0,0.0,0.0,4.5,0.0,0.0,refusal,0.0,0.0,3.0,provided_video_csv,-194.802,0.0,113.33,0.0,-4.497,0.0,21.409,0.0,-4.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2500.0,Unemployed,Studio,271350.0,4.0,Google,0,377,1.33,Select,API,Page Visited on Website,Modified,0,Froid,108.54,3.153,cold,0,tabular_000022,cold_000006,data/raw_videos/cold/cold_07.mp4,"Non, je ne suis pas intéressé par ce logement. Il ne correspond pas à ce que je cherche. Je n'ai pas envie de poursuivre avec cette proposition.",positive,angry,68.472,1389.857,0.09319,3.375,-197.338,99.589,14.589,23.347,5.27,2,refusal,0.327,0.897,0.5,0.567,1.0,478.0,0.411,0.293,0.405,0.264,cold,cold_07,cold_07,fr,0.0,0.68472,0.0,1.0,1.0,0.0,0.0,3.375,0.0,0.0,refusal,0.0,0.0,2.0,provided_video_csv,-197.338,0.0,99.589,0.0,14.589,0.0,23.347,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2531.0,Unemployed,Villa,404829.0,4.0,Google,0,771,4.0,Mumbai,Landing Page Submission,Email Link Clicked,Email Link Clicked,1,Froid,159.94824180165944,4.742,cold,0,tabular_000024,cold_000007,data/raw_videos/cold/cold_08.mp4,"Non, cet appartement ne m'intéresse pas. Ce n'est pas le type de bien que je recherche. Je ne me vois pas habiter ici. Je préfère ne pas continuer la visite. Merci, mais je vais m'arrêter là.",negative,neutral,71.364,1351.221,0.06149,4.5,-213.205,93.288,-3.507,21.195,3.147,1,refusal,0.408,0.769,0.1,0.393,1.0,478.0,0.428,0.378,0.378,0.262,cold,cold_08,cold_08,fr,0.0,0.71364,0.0,1.0,1.0,0.0,0.0,4.5,0.0,0.0,refusal,0.0,0.0,1.0,provided_video_csv,-213.205,0.0,93.288,0.0,-3.507,0.0,21.195,0.0,3.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4065.0,Unemployed,Villa,180000.0,3.0,Google,0,88,1.5,Select,API,Email Opened,Modified,1,Froid,44.28044280442804,2.126,cold,0,tabular_000032,cold_000008,data/raw_videos/cold/cold_09.mp4,"Franchement, ce n'est pas ce que je cherche. La partement ne me plaît pas. Je ne me sens pas concerné par cette offerte. Je ne veux pas continuer à la visite. Je préfère chercher autre chose.",positive,neutral,83.569,1471.217,0.05317,4.5,-231.757,89.502,-4.416,17.224,-2.643,2,refusal,0.405,0.719,0.5,0.537,1.0,478.0,0.472,0.218,0.201,0.144,cold,cold_09,cold_09,fr,0.0,0.83569,0.0,1.0,1.0,0.0,0.0,4.5,0.0,0.0,refusal,0.0,0.0,2.0,provided_video_csv,-231.757,0.0,89.502,0.0,-4.416,0.0,17.224,0.0,-2.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,3332.0,Unemployed,Maison,353400.0,4.0,Referral Sites,0,223,2.0,Select,API,Page Visited on Website,Modified,0,Froid,106.062424969988,3.0460000000000003,cold,0,tabular_000033,cold_000009,data/raw_videos/cold/cold_10.mp4,Je ne veux pas avancer avec ce logement. Il ne répond pas à mes attentes. Je ne me projette pas du tout ici. Je ne souhaite pas organiser une autre visite. Je préfère arrêter cette démarche maintenant.,negative,neutral,93.653,1178.522,0.08022,4.625,-194.106,101.119,-1.721,20.801,-8.086,3,refusal,0.429,0.881,0.05,0.413,1.0,478.0,0.384,0.312,0.28,0.195,cold,cold_10,cold_10,fr,0.0,0.93653,0.0,1.0,1.0,0.0,0.0,4.625,0.0,0.0,refusal,0.0,0.0,3.0,provided_video_csv,-194.106,0.0,101.119,0.0,-1.721,0.0,20.801,0.0,-8.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2500.0,Unemployed,Maison,444804.0,4.0,Organic Search,1,16,2.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,1,Froid,177.9216,2.632,cold,0,tabular_000035,cold_000010,data/raw_videos/cold/cold_11.mp4,"Non, ça ne me convient pas, j'aime pas. Je ne cherche pas ce genre d'appartement. Je n'ai pas envie de continuer la visite. Ce bien ne m'attire pas du tout. Je vais chercher autre chose.",negative,sad,81.617,1435.417,0.05589,4.375,-225.601,90.14,-11.549,17.056,-4.687,1,refusal,0.371,0.735,0.1,0.372,1.0,478.0,0.527,0.284,0.273,0.189,cold,cold_11,cold_11,fr,0.0,0.8161700000000001,0.0,1.0,1.0,0.0,0.0,4.375,0.0,0.0,refusal,0.0,0.0,1.0,provided_video_csv,-225.601,0.0,90.14,0.0,-11.549,0.0,17.056,0.0,-4.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3886.0,Unemployed,Villa,237649.0,2.0,Google,0,310,2.0,Select,API,Email Link Clicked,Email Link Clicked,1,Froid,61.1551724137931,2.22,cold,0,tabular_000039,cold_000011,data/raw_videos/cold/cold_12.mp4,"Non, ce studio ne me convient pas. Je ne me vois pas vivre ici. L'endroit ne m'intéresse pas. Je ne veux pas continuer la visite. Je préfère chercher ailleurs.",negative,neutral,62.038,1197.589,0.0585,3.625,-233.032,100.475,1.97,17.279,-8.977,4,refusal,0.359,0.714,0.05,0.342,0.875,478.0,0.453,0.249,0.276,0.188,cold,cold_12,cold_12,fr,0.0,0.6203799999999999,0.0,0.875,1.0,0.0,0.0,3.625,0.0,0.0,refusal,0.0,0.0,4.0,provided_video_csv,-233.032,0.0,100.475,0.0,1.97,0.0,17.279,0.0,-8.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2848.0,Unemployed,Terrain,288320.0,4.0,Google,0,287,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,0,Froid,101.23595505617978,3.1740000000000004,cold,0,tabular_000046,cold_000012,data/raw_videos/cold/cold_13.mp4,"Je ne souhaite pas acheter se logement. Il ne correspond pas à mon projet immobilié. Je ne veux pas poursuivre cette démarche, je ne suis pas intéressé par cette offerte. Merci, mais ma réponse reste non.",negative,sad,52.211,1368.64,0.07982,4.5,-200.178,103.7,-5.085,25.021,-5.048,3,refusal,0.359,0.879,0.05,0.391,1.0,478.0,0.482,0.404,0.552,0.389,cold,cold_13,cold_13,fr,0.0,0.52211,0.0,1.0,1.0,0.0,0.0,4.5,0.0,0.0,refusal,0.0,0.0,3.0,provided_video_csv,-200.178,0.0,103.7,0.0,-5.085,0.0,25.021,0.0,-5.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3218.0,Unemployed,Maison,250000.0,2.0,Direct Traffic,0,547,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,1,Froid,77.68800497203232,2.694,cold,0,tabular_000047,cold_000013,data/raw_videos/cold/cold_14.mp4,"Je vous remercie, mais ce bien ne m'intéresse pas. Il ne correspond pas à mon projet actuel. Je ne souhaite pas poursuivre cette discussion.",negative,happy,91.079,1458.899,0.10084,3.0,-218.796,93.181,9.032,26.853,8.16,3,refusal,0.767,0.9,0.05,0.52,1.0,478.0,0.405,0.406,0.461,0.315,cold,cold_14,cold_14,fr,0.0,0.91079,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,refusal,0.0,0.0,3.0,provided_video_csv,-218.796,0.0,93.181,0.0,9.032,0.0,26.853,0.0,8.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6179.0,Unknown,Appartement,717703.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,0,Froid,116.15196633759508,0.0,cold,0,tabular_000048,cold_000014,data/raw_videos/cold/cold_15.mp4,Je ne suis pas intéressé par cette offert. Le bien ne répond pas à mes attentes. Je ne souhaite pas discuter d'avantage de cette proposition.,positive,angry,88.025,1237.143,0.06146,3.125,-244.894,99.561,13.937,17.932,9.836,1,refusal,0.339,0.681,0.55,0.526,1.0,478.0,0.491,0.27,0.366,0.232,cold,cold_15,cold_15,fr,0.0,0.8802500000000001,0.0,1.0,1.0,0.0,0.0,3.125,0.0,0.0,refusal,0.0,0.0,1.0,provided_video_csv,-244.894,0.0,99.561,0.0,13.937,0.0,17.932,0.0,9.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
