split,prospect_id,video_id,label
train,tabular_008355,vid16,
train,tabular_001679,vid21,
train,tabular_006381,vid19,
train,tabular_006045,cold_35,
train,tabular_007369,vid2,
train,tabular_008595,hot_08,
train,tabular_000536,hot_14,
train,tabular_004872,vid26,
train,tabular_002486,hot_15,
train,tabular_002586,vid21,
train,tabular_005377,vid17,
train,tabular_000583,vid32,
train,tabular_004475,cold_20,
train,tabular_000461,vid9,
train,tabular_003652,hot_03,
train,tabular_000433,vid27,
train,tabular_006376,vid17,
train,tabular_008316,vid31,
train,tabular_004919,vid20,
train,tabular_000812,cold_27,
train,tabular_001449,vid12,
train,tabular_005481,vid32,
train,tabular_006345,hot_21,
train,tabular_008663,vid4,
train,tabular_001589,vid10,
train,tabular_005186,cold_30,
train,tabular_006176,vid5,
train,tabular_002500,vid13,
train,tabular_007832,cold_34,
train,tabular_004050,vid12,
train,tabular_003856,cold_31,
train,tabular_008667,cold_28,
train,tabular_002846,cold_25,
train,tabular_001072,vid10,
train,tabular_006059,cold_07,
train,tabular_003830,hot_26,
train,tabular_002579,vid19,
train,tabular_008434,vid21,
train,tabular_006038,cold_30,
train,tabular_006036,vid30,
train,tabular_002284,vid30,
train,tabular_004723,vid12,
train,tabular_000447,vid32,
train,tabular_008062,hot_13,
train,tabular_007588,cold_35,
train,tabular_001104,hot_04,
train,tabular_006507,cold_23,
train,tabular_003052,hot_31,
train,tabular_002355,vid31,
train,tabular_007653,hot_28,
train,tabular_002378,vid14,
train,tabular_004776,vid7,
train,tabular_004996,cold_29,
train,tabular_003073,vid29,
train,tabular_001446,cold_06,
train,tabular_005097,vid13,
train,tabular_005470,cold_17,
train,tabular_003669,cold_07,
train,tabular_007856,cold_06,
train,tabular_008605,vid1,
train,tabular_002614,cold_29,
train,tabular_004127,hot_10,
train,tabular_008907,vid23,
train,tabular_001346,vid31,
train,tabular_005461,hot_17,
train,tabular_002413,cold_05,
train,tabular_004984,vid20,
train,tabular_007645,vid13,
train,tabular_004179,cold_25,
train,tabular_001378,vid12,
train,tabular_001276,cold_20,
train,tabular_008544,vid12,
train,tabular_003624,vid24,
train,tabular_007239,hot_09,
train,tabular_005169,vid10,
train,tabular_002728,hot_16,
train,tabular_007505,cold_31,
train,tabular_005340,hot_31,
train,tabular_002749,vid2,
train,tabular_003138,cold_08,
train,tabular_005505,cold_31,
train,tabular_008892,vid15,
train,tabular_006121,vid8,
train,tabular_005447,cold_07,
train,tabular_004283,cold_23,
train,tabular_005670,vid27,
train,tabular_003176,hot_11,
train,tabular_002978,vid10,
train,tabular_000127,cold_33,
train,tabular_002807,vid14,
train,tabular_008545,cold_20,
train,tabular_003131,vid25,
train,tabular_006464,cold_03,
train,tabular_006814,vid10,
train,tabular_005150,cold_16,
train,tabular_000026,hot_06,
train,tabular_008813,vid11,
train,tabular_003344,cold_24,
train,tabular_007814,cold_25,
train,tabular_003956,cold_12,
train,tabular_008448,cold_17,
train,tabular_000589,cold_19,
train,tabular_002135,vid17,
train,tabular_001074,cold_02,
train,tabular_007598,cold_03,
train,tabular_004645,vid30,
train,tabular_004392,vid8,
train,tabular_008704,cold_06,
train,tabular_006156,vid27,
train,tabular_000290,vid22,
train,tabular_002731,cold_24,
train,tabular_008337,cold_09,
train,tabular_002823,cold_22,
train,tabular_005600,hot_01,
train,tabular_008483,vid18,
train,tabular_005520,vid2,
train,tabular_000024,cold_08,
train,tabular_003780,vid35,
train,tabular_004333,vid9,
train,tabular_000152,vid21,
train,tabular_006044,cold_34,
train,tabular_001519,vid8,
train,tabular_007301,vid17,
train,tabular_002653,vid27,
train,tabular_000872,vid14,
train,tabular_006243,vid25,
train,tabular_002479,vid34,
train,tabular_003034,vid9,
train,tabular_008375,cold_27,
train,tabular_004914,vid18,
train,tabular_004239,hot_33,
train,tabular_003795,cold_12,
train,tabular_006336,hot_19,
train,tabular_000150,cold_05,
train,tabular_008945,cold_07,
train,tabular_000214,vid13,
train,tabular_006648,hot_16,
train,tabular_006260,vid34,
train,tabular_005187,hot_09,
train,tabular_004581,cold_16,
train,tabular_007892,hot_31,
train,tabular_006360,vid6,
train,tabular_003286,hot_22,
train,tabular_004422,cold_34,
train,tabular_003864,vid10,
train,tabular_008824,hot_31,
train,tabular_003210,hot_15,
train,tabular_008138,cold_22,
train,tabular_003349,cold_29,
train,tabular_008086,vid3,
train,tabular_007977,cold_13,
train,tabular_001534,hot_12,
train,tabular_008201,vid2,
train,tabular_001228,cold_32,
train,tabular_007494,vid13,
train,tabular_003243,hot_19,
train,tabular_006090,cold_15,
train,tabular_008825,vid16,
train,tabular_007163,cold_14,
train,tabular_002833,vid31,
train,tabular_001438,hot_21,
train,tabular_007257,cold_10,
train,tabular_004695,cold_17,
train,tabular_001597,cold_17,
train,tabular_007547,vid30,
train,tabular_006056,cold_05,
train,tabular_004395,vid1,
train,tabular_009036,vid6,
train,tabular_005251,vid19,
train,tabular_004326,cold_03,
train,tabular_004837,cold_24,
train,tabular_008987,hot_14,
train,tabular_002866,hot_33,
train,tabular_005123,vid20,
train,tabular_008847,cold_32,
train,tabular_009237,cold_18,
train,tabular_000283,vid2,
train,tabular_001153,hot_07,
train,tabular_008898,vid18,
train,tabular_003667,vid9,
train,tabular_002173,vid5,
train,tabular_004920,vid21,
train,tabular_003204,vid25,
train,tabular_003240,vid12,
train,tabular_006625,vid27,
train,tabular_003047,vid15,
train,tabular_001290,vid35,
train,tabular_006298,hot_06,
train,tabular_003122,cold_34,
train,tabular_009157,vid24,
train,tabular_006050,cold_02,
train,tabular_002515,vid20,
train,tabular_001287,vid31,
train,tabular_005685,cold_27,
train,tabular_000488,vid20,
train,tabular_002576,cold_18,
train,tabular_004032,vid6,
train,tabular_000423,cold_34,
train,tabular_002925,cold_07,
train,tabular_008076,vid23,
train,tabular_008755,vid17,
train,tabular_003819,cold_21,
train,tabular_006896,vid19,
train,tabular_000638,vid25,
train,tabular_008946,cold_08,
train,tabular_008108,vid16,
train,tabular_003353,vid25,
train,tabular_006311,hot_12,
train,tabular_002683,vid18,
train,tabular_004744,vid24,
train,tabular_005747,hot_21,
train,tabular_000611,hot_27,
train,tabular_005696,vid5,
train,tabular_005789,cold_29,
train,tabular_003970,vid14,
train,tabular_001994,cold_10,
train,tabular_003558,cold_28,
train,tabular_003483,vid26,
train,tabular_007056,hot_08,
train,tabular_002740,vid12,
train,tabular_001887,vid27,
train,tabular_006435,vid10,
train,tabular_005741,cold_13,
train,tabular_003581,cold_03,
train,tabular_005818,vid6,
train,tabular_004570,vid28,
train,tabular_004765,vid34,
train,tabular_000260,cold_09,
train,tabular_008118,vid24,
train,tabular_006784,hot_07,
train,tabular_001600,cold_18,
train,tabular_001850,vid12,
train,tabular_006901,vid22,
train,tabular_008674,vid1,
train,tabular_003377,hot_01,
train,tabular_007985,vid4,
train,tabular_002735,cold_28,
train,tabular_004855,vid20,
train,tabular_008881,vid9,
train,tabular_002595,vid28,
train,tabular_000044,hot_10,
train,tabular_009113,vid34,
train,tabular_001456,vid15,
train,tabular_007628,hot_26,
train,tabular_000741,vid16,
train,tabular_006150,cold_05,
train,tabular_004008,cold_32,
train,tabular_001744,cold_32,
train,tabular_002519,cold_01,
train,tabular_003007,hot_27,
train,tabular_003986,vid20,
train,tabular_002462,vid26,
train,tabular_007092,vid31,
train,tabular_008303,cold_32,
