Age,Salaire_Mensuel,Profession,Type_de_Bien,Budget_Cible,Nb_Visites_Site,Source_Lead,Target,Total Time Spent on Website,Page Views Per Visit,City,Lead Origin,Last Activity,Last Notable Activity,Score_Lead,Target_Multiclasse,Ratio_Budget_Salaire,Score_Engagement
69,2542.0,Unemployed,Villa,490770.0,0.0,Olark Chat,0,0,0.0,Select,API,Page Visited on Website,Modified,0,Froid,193.06451612903226,0.0
32,3151.0,Unemployed,Villa,257500.0,5.0,Organic Search,0,674,2.5,Select,API,Email Opened,Email Opened,2,Tiede,81.72008886067916,4.598
89,5527.0,Student,Appartement,295932.0,2.0,Direct Traffic,1,1532,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,53.5429708702732,4.664
78,2707.0,Unemployed,Terrain,270890.0,1.0,Direct Traffic,0,305,1.0,Mumbai,Landing Page Submission,Unreachable,Modified,0,Froid,100.0701884004433,1.4100000000000001
38,2500.0,Unemployed,Maison,197220.0,2.0,Google,1,1428,1.0,Mumbai,Landing Page Submission,Converted to Lead,Modified,3,Tiede,78.888,4.156
41,8581.0,Unknown,Studio,807648.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,2,Tiede,94.12049877636639,0.0
20,3739.0,Unemployed,Appartement,251040.0,2.0,Google,1,1640,2.0,Mumbai,Landing Page Submission,Email Opened,Modified,3,Tiede,67.14094677721316,4.88
39,7867.0,Unknown,Terrain,651865.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,82.86068386932757,0.0
70,8127.0,Unknown,Terrain,656260.0,2.0,Direct Traffic,0,71,2.0,Thane & Outskirts,Landing Page Submission,Email Opened,Email Opened,2,Tiede,80.7505844715147,1.742
19,8022.0,Unknown,Terrain,579468.0,4.0,Google,0,58,4.0,Mumbai,API,Email Opened,Email Opened,3,Tiede,72.23485415108452,3.3160000000000003
47,4184.0,Unemployed,Maison,290000.0,8.0,Organic Search,1,1351,8.0,Other Metro Cities,Landing Page Submission,Email Opened,Email Opened,5,Chaud,69.31166347992352,9.102
