video_path,label,transcript,sentiment,dominant_emotion,confidence_emotion,pitch_mean,energy_mean,speech_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,keyword_count,keyword_type,vision_score,audio_score,semantic_score,face_detected,landmark_count,face_center_x,face_center_y,face_width,face_height,video_id,prospect_id,language,duration,emotion_confidence_mean,emotion_confidence_std,face_detected_ratio,landmark_quality_score,pitch_std,energy_std,speech_rate_estimate,zero_crossing_rate_mean,spectral_centroid_mean,sentiment_label,positive_keyword_count,hesitation_keyword_count,negative_keyword_count,analysis_method,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13
data/raw_videos/cold/cold_01.mp4,cold,"Bonjour, non, honnêtement ce bien ne m'intéresse pas. Je ne me vois pas du tout vivre dans un endroit comme celui-ci. Ce n'est pas ce que je recherche. Et...",negative,neutral,99.97,1665.199,0.08845,3.625,-257.19,75.677,-8.983,10.673,-1.003,2,refusal,0.46,0.893,0.05,1.0,478.0,0.545,0.295,0.44,0.299,cold_01,cold_01,fr,0.0,0.9997,0.0,1.0,1.0,0.0,0.0,3.625,0.0,0.0,refusal,0,0,2,provided_video_csv,-257.19,0.0,75.677,0.0,-8.983,0.0,10.673,0.0,-1.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_02.mp4,cold,"Bonjour, non, cet appartement ne m'intéresse pas. Ce n'est pas du tout le type de bien que je recherche. Je ne me projette pas ici.",negative,neutral,87.697,1159.09,0.13215,3.125,-194.722,109.025,-20.475,0.914,-8.642,2,refusal,0.441,0.912,0.05,1.0,478.0,0.541,0.328,0.485,0.331,cold_02,cold_02,fr,0.0,0.87697,0.0,1.0,1.0,0.0,0.0,3.125,0.0,0.0,refusal,0,0,2,provided_video_csv,-194.722,0.0,109.025,0.0,-20.475,0.0,0.914,0.0,-8.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_03.mp4,cold,Ce que vous montrez ne me parle pas du tout. Je ne suis pas concerné par ce type de propositions. Je ne veux pas continuer cet échange autour de ce bien. Je préfère en rester là. Merci.,negative,neutral,91.903,1367.649,0.08396,4.625,-177.865,87.39,-8.891,14.975,0.749,1,refusal,0.447,0.904,0.1,1.0,478.0,0.567,0.336,0.468,0.313,cold_03,cold_03,fr,0.0,0.91903,0.0,1.0,1.0,0.0,0.0,4.625,0.0,0.0,refusal,0,0,1,provided_video_csv,-177.865,0.0,87.39,0.0,-8.891,0.0,14.975,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_04.mp4,cold,"Non, ce n'est pas ce que je cherche. Je ne suis pas intéressé par cette offre. Je préfère arrêter maintenant. Merci.",negative,neutral,93.176,1444.975,0.05456,2.69,-301.052,62.345,12.585,34.234,14.489,3,refusal,0.455,0.596,0.05,1.0,478.0,0.489,0.522,0.347,0.279,cold_04,cold_04,fr,0.0,0.93176,0.0,1.0,1.0,0.0,0.0,2.69,0.0,0.0,refusal,0,0,3,provided_video_csv,-301.052,0.0,62.345,0.0,12.585,0.0,34.234,0.0,14.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_05.mp4,cold,"Bonjour, je vous écoute, je serai bref. Non, honnêtement, ce bien ne m'intéresse pas. Je ne me vois pas du tout vivre dans un endroit comme celui-ci. Ce n'est pas ce que je recherche. Je ne suis pas convaincu par la visite. Je ne ressens aucun réel intérêt pour cet appartement. L'espace ne me prépare. L'ensemble ne correspond pas à mes attentes. Je ne souhaite pas continuer plus loin. Je préfère en rester là. C'est définitif. Merci pour votre temps.",positive,neutral,84.832,1679.043,0.01309,2.898,-444.888,38.459,19.54,18.879,-20.428,5,refusal,0.434,0.368,0.4,1.0,478.0,0.51,0.557,0.253,0.315,cold_05,cold_05,fr,0.0,0.84832,0.0,1.0,1.0,0.0,0.0,2.898,0.0,0.0,refusal,0,0,5,provided_video_csv,-444.888,0.0,38.459,0.0,19.54,0.0,18.879,0.0,-20.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_06.mp4,cold,Je ne vois aucun intérêt à poursuivre. Ce bien ne correspond pas à mes besoins. Je ne souhaite pas discuter du prix. Je ne veux pas recevoir le dossier. Merci mais cette proposition ne m'intéresse pas.,negative,sad,73.579,1240.848,0.08006,4.5,-194.802,113.33,-4.497,21.409,-4.303,3,refusal,0.386,0.88,0.05,1.0,478.0,0.505,0.388,0.416,0.29,cold_06,cold_06,fr,0.0,0.7357899999999999,0.0,1.0,1.0,0.0,0.0,4.5,0.0,0.0,refusal,0,0,3,provided_video_csv,-194.802,0.0,113.33,0.0,-4.497,0.0,21.409,0.0,-4.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_07.mp4,cold,"Non, je ne suis pas intéressé par ce logement. Il ne correspond pas à ce que je cherche. Je n'ai pas envie de poursuivre avec cette proposition.",positive,angry,68.472,1389.857,0.09319,3.375,-197.338,99.589,14.589,23.347,5.27,2,refusal,0.327,0.897,0.5,1.0,478.0,0.411,0.293,0.405,0.264,cold_07,cold_07,fr,0.0,0.68472,0.0,1.0,1.0,0.0,0.0,3.375,0.0,0.0,refusal,0,0,2,provided_video_csv,-197.338,0.0,99.589,0.0,14.589,0.0,23.347,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_08.mp4,cold,"Non, cet appartement ne m'intéresse pas. Ce n'est pas le type de bien que je recherche. Je ne me vois pas habiter ici. Je préfère ne pas continuer la visite. Merci, mais je vais m'arrêter là.",negative,neutral,71.364,1351.221,0.06149,4.5,-213.205,93.288,-3.507,21.195,3.147,1,refusal,0.408,0.769,0.1,1.0,478.0,0.428,0.378,0.378,0.262,cold_08,cold_08,fr,0.0,0.71364,0.0,1.0,1.0,0.0,0.0,4.5,0.0,0.0,refusal,0,0,1,provided_video_csv,-213.205,0.0,93.288,0.0,-3.507,0.0,21.195,0.0,3.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_09.mp4,cold,"Franchement, ce n'est pas ce que je cherche. La partement ne me plaît pas. Je ne me sens pas concerné par cette offerte. Je ne veux pas continuer à la visite. Je préfère chercher autre chose.",positive,neutral,83.569,1471.217,0.05317,4.5,-231.757,89.502,-4.416,17.224,-2.643,2,refusal,0.405,0.719,0.5,1.0,478.0,0.472,0.218,0.201,0.144,cold_09,cold_09,fr,0.0,0.83569,0.0,1.0,1.0,0.0,0.0,4.5,0.0,0.0,refusal,0,0,2,provided_video_csv,-231.757,0.0,89.502,0.0,-4.416,0.0,17.224,0.0,-2.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw_videos/cold/cold_10.mp4,cold,Je ne veux pas avancer avec ce logement. Il ne répond pas à mes attentes. Je ne me projette pas du tout ici. Je ne souhaite pas organiser une autre visite. Je préfère arrêter cette démarche maintenant.,negative,neutral,93.653,1178.522,0.08022,4.625,-194.106,101.119,-1.721,20.801,-8.086,3,refusal,0.429,0.881,0.05,1.0,478.0,0.384,0.312,0.28,0.195,cold_10,cold_10,fr,0.0,0.93653,0.0,1.0,1.0,0.0,0.0,4.625,0.0,0.0,refusal,0,0,3,provided_video_csv,-194.106,0.0,101.119,0.0,-1.721,0.0,20.801,0.0,-8.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
