split,prospect_id,video_id,label
train,cold_33,cold_33,
train,hot_35,hot_35,
train,hot_32,hot_32,
train,hot_07,hot_07,
train,hot_06,hot_06,
train,cold_28,cold_28,
train,cold_17,cold_17,
train,cold_06,cold_06,
train,warm_vid4,vid4,
train,cold_12,cold_12,
train,warm_vid35,vid35,
train,hot_34,hot_34,
train,cold_02,cold_02,
train,hot_05,hot_05,
train,cold_13,cold_13,
train,hot_28,hot_28,
train,cold_24,cold_24,
train,hot_17,hot_17,
train,hot_11,hot_11,
train,warm_vid9,vid9,
train,warm_vid13,vid13,
train,cold_32,cold_32,
train,hot_24,hot_24,
train,warm_vid16,vid16,
train,hot_22,hot_22,
train,warm_vid21,vid21,
train,cold_10,cold_10,
train,cold_03,cold_03,
train,warm_vid2,vid2,
train,hot_13,hot_13,
train,warm_vid24,vid24,
train,hot_01,hot_01,
train,cold_30,cold_30,
train,cold_14,cold_14,
train,hot_23,hot_23,
train,cold_04,cold_04,
train,hot_27,hot_27,
train,hot_21,hot_21,
train,warm_vid6,vid6,
train,warm_vid19,vid19,
train,warm_vid23,vid23,
train,hot_03,hot_03,
train,warm_vid27,vid27,
train,hot_29,hot_29,
train,hot_19,hot_19,
train,warm_vid20,vid20,
train,cold_22,cold_22,
train,warm_vid10,vid10,
train,hot_33,hot_33,
train,warm_vid30,vid30,
train,warm_vid7,vid7,
train,cold_01,cold_01,
train,warm_vid32,vid32,
train,hot_20,hot_20,
train,hot_02,hot_02,
train,cold_18,cold_18,
train,cold_09,cold_09,
train,cold_23,cold_23,
train,warm_vid29,vid29,
train,cold_05,cold_05,
train,warm_vid31,vid31,
train,cold_11,cold_11,
train,hot_08,hot_08,
train,cold_27,cold_27,
train,cold_25,cold_25,
train,warm_vid5,vid5,
train,hot_12,hot_12,
train,warm_vid14,vid14,
train,warm_vid3,vid3,
train,warm_vid34,vid34,
train,hot_31,hot_31,
train,cold_31,cold_31,
train,warm_vid22,vid22,
train,hot_15,hot_15,
train,warm_vid26,vid26,
train,cold_34,cold_34,
train,hot_09,hot_09,
train,hot_25,hot_25,
train,cold_20,cold_20,
train,cold_19,cold_19,
train,warm_vid1,vid1,
train,cold_16,cold_16,
train,warm_vid18,vid18,
test,hot_10,hot_10,
test,hot_14,hot_14,
test,warm_vid8,vid8,
test,hot_30,hot_30,
test,warm_vid11,vid11,
test,cold_15,cold_15,
test,cold_35,cold_35,
test,warm_vid25,vid25,
test,hot_18,hot_18,
test,warm_vid17,vid17,
test,warm_vid15,vid15,
test,warm_vid12,vid12,
test,hot_16,hot_16,
test,cold_08,cold_08,
test,cold_26,cold_26,
test,cold_21,cold_21,
test,cold_07,cold_07,
test,cold_29,cold_29,
test,warm_vid28,vid28,
test,hot_26,hot_26,
test,hot_04,hot_04,
